Part,Quantity,Thickness_in,Width_in,Length_in,Source
1R Right side | 3/4 x 16 x 64,1,0.75,16.0,64.0,Rockler manual p6
1L Left side | 3/4 x 16 x 64,1,0.75,16.0,64.0,Rockler manual p6
2T Top | 3/4 x 16 x 85-1/4,1,0.75,16.0,85.25,Rockler manual p6
2B Bottom | 3/4 x 16 x 85-1/4,1,0.75,16.0,85.25,Rockler manual p6
3 Upper headboard — REQUIRED,1,0.75,16,85.25,Rockler manual p6
4 Lower headboard — REQUIRED,1,0.75,16,85.25,Rockler manual p6
6 Permanent stop | adjust contact location to actual kit,1,0.625,3,56,Rockler manual p6
5.1 Door panel | 3/4 x 21-1/8 x 61-13/16,1,0.75,21.125,61.8125,Rockler manual p6
5.2 Door panel | 3/4 x 21-1/8 x 61-13/16,1,0.75,21.125,61.8125,Rockler manual p6
5.3 Door panel | 3/4 x 21-1/8 x 61-13/16,1,0.75,21.125,61.8125,Rockler manual p6
5.4 Door panel | 3/4 x 21-1/8 x 61-13/16,1,0.75,21.125,61.8125,Rockler manual p6
Left cabinet: Left side,1,0.75,16.0,64.0,Project side cabinet design; not Rockler kit
Left cabinet: Right side,1,0.75,16.0,64.0,Project side cabinet design; not Rockler kit
Left cabinet: Top,1,0.75,16.0,28.5,Project side cabinet design; not Rockler kit
Left cabinet: Bottom,1,0.75,16.0,28.5,Project side cabinet design; not Rockler kit
Left cabinet: Recessed plinth,1,0.75,2.5,28.5,Project side cabinet design; not Rockler kit
Left cabinet: Plywood back,1,0.25,28.5,60.0,Project side cabinet design; not Rockler kit
Left cabinet: Shelf above drawer,1,0.75,15.75,28.5,Project side cabinet design; not Rockler kit
Left cabinet: Shelf 1,1,0.75,15.75,28.5,Project side cabinet design; not Rockler kit
Left cabinet: Shelf 2,1,0.75,15.75,28.5,Project side cabinet design; not Rockler kit
Left cabinet: Shelf 3,1,0.75,15.75,28.5,Project side cabinet design; not Rockler kit
Left cabinet: Drawer Left side,1,0.5,8.0,14.0,Project side cabinet design; not Rockler kit
Left cabinet: Drawer Right side,1,0.5,8.0,14.0,Project side cabinet design; not Rockler kit
Left cabinet: Drawer back,1,0.5,8.0,26.5,Project side cabinet design; not Rockler kit
Left cabinet: Drawer inner front,1,0.5,8.0,26.5,Project side cabinet design; not Rockler kit
Left cabinet: Drawer bottom,1,0.25,14.0,27.5,Project side cabinet design; not Rockler kit
Left cabinet: Drawer face,1,0.75,10.5,28.25,Project side cabinet design; not Rockler kit
